Bạn đang ở loại hình nào? ,"Số người ở trong phòng là bao nhiêu? (Số)
","Diện tích phòng của bạn là bao nhiêu m^2? (Điền số)
",  Phòng của bạn nằm ở tầng mấy?  ,  Phòng có bị nắng chiếu trực tiếp nhiều không?  ,  Phòng có cửa sổ/ban công thông thoáng không?  ,Phòng bạn có máy lạnh không?  ,"Nếu có, phòng bạn có bao nhiêu máy lạnh?  ",  Bạn thường để máy lạnh ở mức nhiệt độ bao nhiêu?  ,  Trung bình mỗi ngày bạn bật máy lạnh bao nhiêu giờ?  ,Phòng bạn có bao nhiêu quạt?  (số),  Trung bình mỗi ngày bạn bật quạt bao nhiêu giờ?  ,  Phòng bạn có tủ lạnh không?  ,Phòng bạn có sử dụng bếp điện/bếp từ/nồi cơm điện không? ,  Phòng bạn có máy giặt không?  ,  Trung bình một tuần bạn giặt máy bao nhiêu lần?  ,  Phòng bạn có bình nóng lạnh/máy nước nóng không?  ,  Trung bình mỗi ngày dùng bình nóng lạnh bao lâu?  ,  Bạn có sử dụng máy tính bàn/laptop thường xuyên không?  ,  Các thiết bị khác bạn đang sử dụng  ,  Bạn thường ở phòng vào thời gian nào trong ngày?  ,Trung bình mỗi ngày bạn ở phòng khoảng bao nhiêu giờ?  ,Bạn có thường xuyên học/làm việc online tại phòng không?  ,Bạn có thói quen tắt thiết bị điện khi không sử dụng không?  ,Mức độ sử dụng điện của bạn vào mùa nóng so với bình thường  ,Tiền điện tháng gần nhất của phòng bạn là bao nhiêu?  (VND/tháng),  Số kWh điện tháng gần nhất là bao nhiêu? (kWh) (Không biết có thể bỏ qua),  Giá điện bạn đang trả là bao nhiêu tiền/kWh?  ,Công tơ điện của bạn là loại nào?  , Tiền điện này là của tháng nào?  ,"  Trong tháng đó, bạn có ở phòng đủ cả tháng không?  "
Ký túc xá,1,22,Tầng 1-3,Có,"Có, rất thoáng",Có,1,Trên 26°C,3,3,12,Không,"Có, nhưng ít",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,17,Thường xuyên,Luôn luôn,Tăng rất nhiều,294000,84,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,20,Tầng trệt,Không,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,3,11,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,10,Thường xuyên,Thỉnh thoảng,Tăng nhẹ,140000,40,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,4,29,Tầng trệt,Có,Không có cửa sổ,Có,1,Dưới 24°C,10,3,8,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,18,Thường xuyên,Luôn luôn,Tăng nhiều,976500,279,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,1,24,Tầng 1-3,Có,"Có, thông thoáng bình thường",Có,1,24–26°C,6,2,9,Có tủ lạnh thường,"Có, sử dụng thường xuyên",Không,0,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,11,Không,Luôn luôn,Tăng rất nhiều,558600,147,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,21,Tầng 4 trở lên,Không,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,2,16,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,17,Thường xuyên,Thỉnh thoảng,Tăng rất nhiều,357200,94,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,21,Tầng 1-3,Có,"Có, rất thoáng",Có,1,Trên 26°C,9,2,10,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Có,3,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,18,Thường xuyên,Thỉnh thoảng,Tăng nhiều,692000,173,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,4,17,Tầng 4 trở lên,Không,"Có, rất thoáng",Có,1,Dưới 24°C,9,1,15,Có tủ lạnh thường,Không sử dụng,Không,0,Có,30–60 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,12,Thường xuyên,Luôn luôn,Tăng nhẹ,1132400,298,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,4,22,Tầng trệt,Có,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,9,Có tủ lạnh mini,"Có, nhưng ít",Không,0,Có,Dưới 15 phút,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,8,Thỉnh thoảng,Thỉnh thoảng,Tăng rất nhiều,406000,116,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,23,Tầng trệt,Không,Không có cửa sổ,Có,1,24–26°C,3,3,10,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,17,Không,Thỉnh thoảng,Tăng rất nhiều,266000,70,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,30,Tầng trệt,Thỉnh thoảng,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,2,9,Không,Không sử dụng,Có,4,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,11,Không,Luôn luôn,Tăng nhẹ,161000,46,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,3,23,Tầng 1-3,Có,"Có, rất thoáng",Không,0,Không dùng máy lạnh,0,3,16,Không,"Có, nhưng ít",Không,0,Có,Dưới 15 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,11,Không,Thỉnh thoảng,Tăng nhiều,312000,78,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,30,Tầng trệt,Có,"Có, rất thoáng",Có,1,Trên 26°C,8,1,14,Không,"Có, sử dụng thường xuyên",Không,0,Không,Không dùng,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,17,Thỉnh thoảng,Thỉnh thoảng,Tăng rất nhiều,553000,158,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,15,Tầng 1-3,Không,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,6,3,7,Có tủ lạnh thường,"Có, nhưng ít",Không,0,Có,15–30 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,14,Không,Luôn luôn,Tăng nhiều,539000,154,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,25,Tầng 1-3,Không,"Có, rất thoáng",Có,1,Trên 26°C,10,2,16,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Có,3,Có,Dưới 15 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,8,Không,Luôn luôn,Tăng nhẹ,771400,203,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,3,25,Tầng 1-3,Thỉnh thoảng,Không có cửa sổ,Không,0,Không dùng máy lạnh,0,3,6,Không,Không sử dụng,Có,3,Có,15–30 phút,Trên 6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,18,Thường xuyên,Thỉnh thoảng,Tăng nhiều,203000,58,3500đ/kWh,Công tơ riêng,Tháng 4,Có
Căn hộ mini,1,19,Tầng 4 trở lên,Không,"Có, thông thoáng bình thường",Có,1,Dưới 24°C,8,1,9,Có tủ lạnh mini,Không sử dụng,Không,0,Không,Không dùng,4–6 giờ/ngày,"Đèn LED, Sạc điện thoại",Chủ yếu buổi tối,10,Không,Luôn luôn,Tăng rất nhiều,688000,172,4000đ/kWh,Công tơ riêng,Tháng 4,Có
Phòng trọ,2,25,Tầng 1-3,Thỉnh thoảng,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,1,10,Có tủ lạnh mini,Không sử dụng,Có,4,Không,Không dùng,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Cả ngày,18,Thường xuyên,Luôn luôn,Tăng nhiều,349600,92,3800đ/kWh,Công tơ riêng,Tháng 4,Có
Ký túc xá,1,18,Tầng trệt,Thỉnh thoảng,"Có, thông thoáng bình thường",Không,0,Không dùng máy lạnh,0,3,6,Có tủ lạnh mini,"Có, sử dụng thường xuyên",Không,0,Có,Dưới 15 phút,2–4 giờ/ngày,"Đèn LED, Sạc điện thoại",Sáng và tối,10,Thường xuyên,Luôn luôn,Tăng rất nhiều,338200,89,3800đ/kWh,Công tơ riêng,Tháng 4,Có
